,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
15,Newcastle United,42,33,0,25,8,446,142,507,711,170,325,39,249,42,134,715,435,423,335,9829,13486,112,804,2321,233,2066,269,104,40,178,39,2,404,1,21312,686,3,1,0,2,42,8,181,155,181,16,4,1,48,11,95,71,29,14,6,6,0,1120,1120,15,1122,17,3,59,32,21,441
16,Brighton,35,24,0,13,11,370,108,464,637,185,283,33,207,52,170,681,392,463,307,10552,14110,103,836,2265,263,2069,226,84,34,144,24,1,338,0,21439,618,6,5,0,1,51,20,156,138,158,12,1,0,60,7,111,69,47,3,10,10,0,921,921,9,1146,4,4,90,22,23,509
17,Cardiff,34,20,0,13,7,417,126,533,564,148,295,32,218,56,147,655,375,374,394,6530,10224,78,978,2265,259,2267,252,93,29,166,34,5,332,0,17511,748,4,3,0,1,61,14,168,156,169,13,2,0,69,10,141,103,40,17,7,7,3,980,980,11,873,10,3,77,32,19,476
18,Fulham,34,24,0,22,2,454,146,434,611,143,352,48,278,48,144,597,362,423,345,14212,17697,89,750,2342,353,2033,247,94,30,208,53,4,486,3,25209,646,3,2,0,1,20,4,161,126,162,10,2,0,81,5,147,111,37,16,7,7,1,970,970,29,1096,14,0,90,45,22,567
19,Huddersfield,22,13,0,8,5,400,117,531,769,168,283,26,222,48,130,706,424,420,371,12059,15911,105,860,2352,229,2150,232,73,17,170,46,5,401,1,23236,626,1,1,0,0,62,14,162,146,163,15,8,1,76,5,114,82,34,8,8,8,1,657,657,21,1198,5,1,63,23,10,440
0,Bayern Munich,88,62,0,51,11,637,257,336,777,201,474,109,340,71,61,464,294,312,346,19414,22197,97,534,2177,425,1753,435,197,75,204,62,13,317,1,28537,1327,4,3,1,0,54,14,287,239,288,28,9,0,32,12,48,28,24,11,6,6,0,344,344,3,1292,31,1,88,80,52,681
1,Borussia Dortmund,81,60,0,55,5,448,184,385,458,114,340,79,234,42,79,497,319,292,389,17828,20721,57,475,2005,440,1783,301,133,70,148,52,11,381,0,27343,899,4,4,0,0,50,16,168,132,170,17,10,3,44,10,90,60,30,3,5,5,0,628,628,13,981,36,1,64,51,51,737
2,Bayer Leverkusen,75,55,0,49,6,535,206,364,642,157,394,71,305,34,99,598,377,370,400,18250,21543,104,574,2317,339,1885,342,143,66,195,65,9,405,3,28564,946,5,4,0,1,38,4,190,174,190,25,8,2,53,9,92,64,32,15,6,6,2,642,642,9,1197,23,0,66,44,44,574
3,Hoffenheim,70,49,0,43,6,612,225,400,666,179,469,88,364,56,104,574,365,471,355,13450,16404,115,541,2112,352,1795,391,158,62,222,68,8,361,1,23289,1015,7,6,1,0,30,11,182,160,182,15,5,1,52,5,123,80,44,7,7,7,0,603,603,8,952,17,3,66,77,42,591
4,RasenBallsport Leipzig,63,41,0,37,4,497,182,420,616,156,384,78,288,53,70,653,400,465,400,11421,15153,87,765,2234,315,2106,345,134,58,152,48,5,394,1,22306,881,7,5,1,1,55,8,190,160,191,18,9,2,29,16,95,72,23,17,6,6,0,668,668,6,864,29,3,87,63,38,554
5,Wolfsburg,62,38,0,29,9,425,167,430,681,176,314,54,226,48,95,540,345,358,445,12164,15473,122,638,2081,252,1839,269,122,57,159,48,5,331,0,22202,692,5,5,0,0,46,13,175,134,175,15,5,0,50,9,110,59,51,5,6,6,1,739,739,17,1449,16,4,67,38,37,431
6,Eintracht Frankfurt,61,42,0,36,6,426,155,380,686,155,310,78,210,55,103,612,376,432,353,9861,13531,97,846,2398,301,2092,296,122,56,130,33,5,369,2,20551,769,4,4,0,0,59,16,183,133,183,11,4,1,54,9,127,85,46,13,1,1,0,669,669,14,1094,20,1,84,56,45,542
7,Werder Bremen,58,38,0,36,2,470,178,407,676,164,352,44,274,39,109,552,344,437,350,13366,16719,110,612,2066,210,1710,300,125,47,171,54,11,327,0,23387,757,4,4,0,0,55,12,168,157,168,11,3,2,49,5,108,71,39,5,5,5,0,773,773,14,1086,14,2,40,37,30,405
8,Borussia M.Gladbach,55,42,0,36,6,459,159,310,565,140,346,59,258,46,102,500,294,332,365,14845,17600,79,447,1937,279,1565,286,115,47,175,46,8,304,0,23707,761,7,4,1,2,39,7,189,160,190,16,4,0,42,13,115,87,27,3,3,3,0,588,588,4,1067,19,2,70,50,30,484
9,Augsburg,51,33,0,25,8,462,167,486,612,153,337,46,256,48,136,603,382,464,358,10476,13989,96,686,2162,212,1829,288,112,43,175,56,8,352,2,20748,632,5,5,0,0,42,13,146,129,147,19,6,3,71,6,124,79,51,7,2,2,1,732,732,7,1037,10,3,85,39,26,410
10,Fortuna Duesseldorf,50,36,0,32,4,432,164,427,563,158,317,55,230,51,112,635,388,443,424,10732,13794,90,656,2019,238,1919,265,118,43,168,47,7,264,0,20303,625,7,5,2,0,42,17,148,132,150,17,4,1,66,5,117,66,54,4,8,8,0,751,751,25,1228,18,2,50,44,31,449
11,Hertha Berlin,49,32,0,25,7,405,150,382,554,148,308,57,229,47,117,537,351,447,378,11517,14694,88,713,1991,302,1906,276,110,46,129,40,3,333,2,21320,660,4,4,0,0,39,9,146,133,149,15,4,2,57,9,107,77,33,8,6,6,1,764,764,7,1079,17,0,75,39,35,509
12,Freiburg,47,25,0,20,5,435,166,374,546,140,303,41,238,40,125,585,363,425,426,10823,13858,90,593,1913,242,1815,239,112,39,198,56,8,303,0,20366,573,7,6,0,1,47,16,155,134,156,19,6,3,62,5,118,67,50,9,7,7,0,861,861,15,1136,10,0,52,37,23,456
13,Mainz 05,46,30,0,27,3,497,151,397,646,152,363,56,290,43,124,528,308,430,362,10533,13666,99,668,2098,317,1862,287,106,41,212,47,5,393,0,20539,691,3,3,0,0,48,14,150,142,151,18,4,0,57,7,119,69,50,7,4,4,0,676,676,11,1127,16,1,83,43,27,556
14,Schalke 04,37,22,0,17,5,432,135,430,540,161,321,49,220,76,120,656,395,458,412,10363,13519,61,622,2160,370,2039,269,98,30,163,37,7,386,1,20563,753,9,7,1,1,75,29,162,160,162,18,4,1,55,8,119,68,49,7,6,6,1,637,637,15,970,13,1,77,46,26,625
15,VfB Stuttgart,32,26,0,21,5,408,115,398,727,188,306,43,235,43,116,575,359,373,400,10270,13561,121,743,1970,237,1935,245,80,26,163,35,6,309,4,20343,610,1,1,0,0,51,16,170,156,171,16,4,0,70,6,113,78,36,14,3,3,0,840,840,16,981,11,6,67,37,20,395
16,Hannover 96,31,20,0,18,2,384,121,459,521,119,283,37,217,44,124,584,343,422,422,10483,13642,75,632,2042,275,1896,231,83,27,154,39,4,388,1,20575,571,3,3,0,0,45,10,143,140,143,13,5,1,71,5,157,99,61,9,7,7,1,762,762,15,1029,9,0,58,32,17,528
17,Nuernberg,26,16,0,11,5,360,104,354,495,111,243,23,179,48,119,551,350,393,387,9746,12827,51,647,1894,248,1801,193,69,22,168,36,4,293,2,19060,488,6,2,2,2,55,13,151,139,151,19,6,0,68,4,115,73,42,7,4,4,1,792,792,24,930,8,1,54,29,15,462
0,Barcelona,90,61,0,56,5,560,253,391,394,84,409,103,323,21,101,538,346,410,559,22340,25308,54,461,2271,442,1979,346,180,77,216,75,13,435,1,32062,1135,9,8,0,1,38,8,205,103,208,50,16,6,36,17,95,64,34,6,2,2,0,505,505,9,1303,61,1,102,79,50,749
1,Real Madrid,63,39,0,32,7,594,216,373,762,176,466,78,370,55,78,626,395,446,554,19536,22337,114,499,2221,453,2103,387,163,58,209,55,5,356,0,29685,1169,9,9,0,0,58,15,221,143,221,19,6,1,46,12,93,56,40,9,8,8,1,548,548,5,1535,26,2,112,62,40,749
2,Sevilla,62,46,0,42,4,530,178,365,812,188,393,82,312,32,114,600,408,536,468,13450,16892,135,679,2336,349,2062,347,142,58,185,38,4,391,0,24299,1007,6,5,0,1,41,10,223,163,223,11,1,0,47,11,110,64,46,9,7,7,1,765,765,11,1164,32,3,111,59,48,598
3,Levante,59,40,0,28,12,442,161,422,674,136,310,73,233,34,151,572,372,501,494,9857,13092,78,497,2276,394,1922,273,124,54,172,40,5,428,2,20519,753,7,5,0,2,52,14,202,174,204,32,14,1,66,7,162,100,63,13,9,9,1,795,795,18,1019,25,4,85,53,39,733
4,Atletico Madrid,55,36,0,28,8,444,160,463,590,132,353,56,259,54,94,785,487,476,457,14111,17510,65,693,2311,358,2272,259,107,41,187,55,14,413,2,24647,831,4,3,0,1,48,14,217,179,219,21,8,3,29,20,110,72,38,5,5,5,0,776,776,10,1045,29,1,80,45,32,565
5,Celta Vigo,53,37,0,33,4,452,161,382,659,134,343,44,271,35,105,635,377,458,491,14067,17201,84,685,2164,376,2159,285,108,45,168,54,8,371,1,24343,720,7,7,0,0,55,17,163,131,163,22,7,2,62,8,107,69,40,15,7,7,0,810,810,13,1109,13,1,90,35,27,623
6,Valencia,51,38,0,30,8,477,166,417,715,182,370,71,278,53,120,599,384,463,521,12700,15951,111,618,2290,331,2040,306,126,47,172,41,4,337,2,23153,872,7,5,0,2,45,12,196,161,198,18,4,1,35,13,121,68,53,4,8,8,1,815,815,11,1150,28,1,75,56,35,578
7,Villarreal,49,34,0,24,10,494,175,390,618,135,370,63,288,42,142,669,413,518,418,12802,16016,82,644,2161,345,2039,325,127,44,171,50,5,340,3,23198,872,6,3,1,2,32,7,168,143,169,8,4,1,52,11,138,91,48,12,5,5,1,823,823,13,1198,27,1,95,54,27,601
8,Espanyol,48,24,0,21,3,475,160,409,544,115,332,51,276,32,134,657,394,531,514,12998,16245,74,618,2168,311,2069,274,104,38,206,61,10,374,2,23399,735,4,4,0,0,33,8,175,118,175,25,5,2,50,10,121,90,33,2,8,8,2,891,891,11,1161,33,0,84,45,29,518
9,Getafe,48,34,0,30,4,401,129,453,638,156,294,44,210,50,81,605,357,642,507,7149,11228,101,868,2370,298,2240,274,105,42,128,25,6,366,2,18759,739,6,6,0,0,60,20,158,106,159,13,5,0,35,13,102,75,26,18,7,7,2,855,855,30,1188,19,1,102,34,27,575
10,Eibar,46,26,0,20,6,532,156,368,1057,266,374,45,272,76,53,640,424,522,397,11782,16202,174,1029,2576,338,2364,353,119,39,179,37,7,388,1,23897,963,8,7,1,0,73,15,223,192,224,20,7,2,50,9,83,61,23,30,4,4,1,638,638,12,1531,7,5,92,35,34,588
11,Real Sociedad,45,27,0,23,4,428,144,425,627,181,318,49,246,43,109,582,344,492,554,13497,16838,111,723,2283,404,2229,261,110,42,168,35,3,466,2,24360,710,10,8,0,2,64,14,178,154,178,16,3,0,46,9,99,66,35,12,3,3,1,789,789,11,1086,23,2,92,45,30,672
12,Real Betis,44,30,0,27,3,443,168,361,590,130,327,50,256,40,80,616,378,435,555,18503,21350,82,481,2066,436,2063,261,108,37,183,61,7,392,0,28386,890,7,5,0,2,41,10,186,132,186,31,9,4,52,11,103,70,35,17,5,5,1,641,641,10,1110,23,6,79,43,25,705
13,SD Huesca,43,28,0,17,11,470,148,436,770,186,337,48,258,50,107,711,450,579,449,9690,13145,129,773,2265,312,2202,291,106,38,179,42,5,355,3,20644,764,7,6,0,1,51,8,168,146,169,19,4,1,65,6,114,79,36,3,9,9,0,883,883,9,1118,9,6,94,41,27,589
14,Rayo Vallecano,41,24,0,22,2,458,151,434,783,172,335,41,254,56,77,651,422,567,460,11411,14463,111,553,2306,532,2175,252,97,31,207,55,10,494,1,22503,667,5,5,0,0,52,9,186,160,187,22,8,1,70,7,114,76,39,11,11,11,4,861,861,13,1036,13,3,71,38,25,849
15,Athletic Club,41,27,0,24,3,387,140,451,727,169,302,44,223,49,93,644,382,580,499,12162,15814,104,963,2286,284,2343,270,113,39,119,29,2,344,0,22942,753,7,5,0,2,62,24,153,131,153,6,2,1,45,10,78,47,28,15,5,5,0,770,770,18,1185,19,4,74,39,24,539
16,Alaves,39,26,0,14,12,429,122,390,729,181,299,39,227,45,117,646,388,551,502,8748,12363,135,895,2245,268,2275,261,81,33,168,41,6,339,2,19791,652,3,2,0,1,60,16,145,115,145,16,4,2,50,8,121,81,41,17,6,6,0,1001,1001,17,1101,5,5,58,34,20,484
17,Girona,37,23,0,17,6,398,146,432,743,175,282,45,209,48,124,614,367,537,533,12152,15465,116,776,2264,316,2206,247,109,35,151,37,2,370,2,22858,680,6,6,0,0,62,18,136,119,137,21,3,1,53,9,156,98,59,7,8,8,0,846,846,11,1155,18,2,60,42,25,537
18,Leganes,37,25,0,18,7,419,133,432,744,202,306,36,234,47,84,609,382,541,404,9814,13403,142,953,2252,245,2167,284,91,33,136,43,4,305,1,20391,662,5,3,1,1,60,14,139,123,140,14,5,0,43,11,92,63,31,10,4,4,1,865,865,27,1209,8,1,75,37,17,464
19,Real Valladolid,32,19,0,16,3,413,133,387,804,151,295,43,232,42,113,715,442,521,528,11047,14462,99,619,2264,285,2116,235,90,24,179,44,8,348,1,21747,639,7,4,1,2,57,13,201,145,201,24,6,3,51,9,107,65,42,3,9,9,3,780,780,11,1172,7,5,96,45,15,468
0,Paris Saint Germain,105,71,0,65,6,561,230,342,589,132,423,105,310,40,93,702,432,474,456,20985,23602,72,417,2256,452,1998,398,190,96,165,42,9,454,4,30518,1207,12,10,0,2,35,8,238,165,239,29,8,3,35,17,101,58,44,4,6,6,1,486,486,6,878,76,2,92,69,75,744
1,Lyon,70,54,0,52,2,673,252,359,682,199,496,68,382,58,136,640,391,442,479,17918,20847,117,634,2259,457,2180,411,173,60,262,79,10,462,3,28504,1086,10,5,2,3,47,17,227,179,227,48,18,4,47,10,105,63,46,11,5,5,0,615,615,8,991,34,3,94,63,36,760
2,Lille,68,49,0,43,6,498,195,387,576,148,385,58,283,52,105,627,377,479,523,13490,16635,77,584,2290,360,2059,286,138,61,214,59,7,465,0,23939,725,13,11,1,1,61,20,164,149,164,26,4,0,33,15,94,57,36,12,10,10,2,680,680,6,911,32,1,39,46,42,628
3,Marseille,60,44,0,35,9,531,170,407,826,217,406,52,287,73,98,780,488,502,459,14824,18000,133,720,2188,350,2282,332,124,51,200,47,9,371,0,25691,824,5,4,0,1,66,20,225,192,225,21,11,1,52,12,87,54,37,11,12,12,2,646,646,13,1013,25,6,45,40,30,649
4,Saint-Etienne,59,40,0,29,11,498,178,439,771,165,370,56,279,50,97,675,406,455,461,13981,17237,95,629,2216,308,2045,302,134,52,199,47,7,409,1,24776,827,5,5,0,0,59,13,224,184,225,18,7,2,41,13,115,76,40,6,9,9,1,734,734,17,1207,22,3,60,51,34,560
5,Strasbourg,58,43,0,34,9,402,157,418,721,168,310,37,225,42,127,651,407,512,411,13595,16898,114,654,2250,285,1969,235,107,50,168,51,8,404,1,24106,595,7,5,0,2,40,11,157,132,157,11,2,1,48,9,103,65,43,9,9,9,2,698,698,17,1415,12,2,43,22,33,515
6,Nimes,57,37,0,23,14,520,179,440,736,172,366,48,267,60,120,724,441,487,500,10145,13630,89,732,2303,359,2273,291,117,47,231,64,10,407,1,21700,733,6,4,1,1,72,17,202,190,202,26,10,2,58,10,123,81,43,12,5,5,1,772,772,15,1049,16,0,40,37,30,676
7,Rennes,55,34,0,26,8,470,159,388,663,143,325,50,259,31,119,654,397,490,496,13084,16117,86,647,2269,389,2151,267,107,43,206,55,12,379,1,23702,729,10,7,1,2,65,11,191,158,191,47,14,2,52,11,107,69,43,15,5,5,1,731,731,7,1026,17,1,61,46,29,764
8,Montpellier,53,28,0,21,7,509,171,487,749,194,370,42,284,57,105,758,429,536,481,12438,15831,119,773,2379,305,2271,286,116,46,226,58,7,386,2,23612,694,3,3,0,0,57,25,171,153,171,29,11,3,42,12,107,60,47,10,5,5,1,709,709,22,1373,12,1,58,33,27,565
9,Nantes,48,28,0,25,3,517,150,430,725,191,381,45,290,62,106,773,480,493,504,12172,15869,110,806,2439,275,2311,270,89,39,249,63,9,396,0,23611,734,8,6,1,1,79,26,182,151,182,23,5,1,48,8,83,55,29,15,8,8,4,785,785,18,1018,9,0,76,42,27,500
10,Angers,44,27,0,22,5,454,154,420,627,141,331,41,248,55,109,676,400,449,455,11939,15072,69,638,2264,318,2054,277,113,41,179,43,3,447,2,22583,707,10,5,0,5,68,20,166,157,166,19,3,0,49,13,119,86,33,15,5,5,2,823,823,8,935,22,2,51,37,28,558
11,Reims,39,27,0,24,3,406,137,490,634,148,299,36,238,34,111,760,456,532,469,10625,13986,89,676,2343,318,2189,249,97,31,157,40,8,332,2,21453,643,2,2,0,0,54,14,164,146,164,14,6,1,42,14,111,60,53,12,7,7,0,819,819,15,1038,17,3,79,27,18,587
12,Monaco,38,25,0,21,4,467,159,382,748,180,322,41,245,52,86,685,422,528,510,12966,16118,107,635,2197,284,2082,280,111,35,187,48,3,352,2,23659,738,5,4,0,1,57,13,195,164,195,25,8,1,57,8,93,57,35,5,8,8,3,799,799,13,901,11,2,55,40,19,563
13,Toulouse,35,16,0,11,5,434,133,381,629,140,312,40,243,52,126,668,417,558,479,11902,15295,80,751,2332,366,2214,265,101,30,169,32,5,444,1,23113,723,11,7,0,4,50,10,158,144,159,19,6,2,57,9,122,72,51,20,6,6,1,872,872,18,1015,12,2,69,41,18,698
14,Bordeaux,34,25,0,22,3,427,138,390,659,137,330,30,268,37,114,720,447,545,503,13562,16893,82,685,2386,342,2216,215,78,30,212,60,4,426,0,24515,604,6,5,0,1,46,10,168,153,168,22,5,0,42,10,114,68,45,6,7,7,1,906,906,11,1057,13,1,60,24,17,655
15,Amiens,31,22,0,17,5,388,117,393,584,128,285,29,217,44,140,629,384,521,522,11032,14539,75,743,2196,248,2118,199,74,27,190,44,4,405,2,21829,546,3,2,0,1,65,19,137,118,138,19,6,1,52,11,116,71,46,4,9,9,2,813,813,6,979,16,1,65,27,17,477
16,Dijon,31,20,0,16,4,453,144,479,607,157,328,33,255,53,120,675,409,573,448,11999,15337,90,730,2274,341,2156,236,85,27,219,61,4,376,1,22753,637,4,3,0,1,50,12,167,135,167,25,6,0,60,6,113,70,50,16,3,3,0,767,767,13,1208,9,3,59,29,20,592
17,Nice,30,19,0,16,3,441,131,457,495,125,331,42,254,55,108,663,419,425,527,17038,19818,61,541,2254,501,2196,245,82,25,198,51,5,413,1,27531,728,9,5,0,4,37,13,172,145,172,31,9,1,35,16,122,77,47,4,6,6,3,733,733,15,1048,13,0,40,42,16,922
18,Caen,29,17,0,13,4,336,97,481,647,133,221,27,169,33,141,711,438,559,504,10501,13748,80,801,2214,268,2233,180,66,21,156,31,8,419,2,21448,475,4,4,0,0,67,16,127,114,127,17,2,1,54,9,142,91,54,4,8,8,2,884,884,5,1305,7,1,50,20,15,529
19,Guingamp,28,21,0,15,6,415,115,415,808,180,304,37,234,49,112,687,433,486,470,10396,13825,104,806,2272,347,2272,238,87,27,177,28,1,477,0,21513,724,6,5,0,1,72,24,194,172,194,17,5,0,68,10,103,60,48,8,6,6,2,705,705,19,1053,7,5,54,31,20,566
0,Atalanta,77,59,0,48,11,641,222,456,801,204,509,83,389,57,95,638,396,445,506,17045,20282,119,639,2467,362,2131,433,169,68,210,55,9,462,3,28126,1173,4,2,1,1,28,6,242,231,244,16,4,0,46,9,92,60,31,10,5,5,0,632,632,16,1102,21,0,71,56,50,652
1,Napoli,74,54,0,49,5,705,235,360,775,166,563,76,476,32,107,576,360,410,418,20097,23021,113,406,2364,336,1711,391,153,56,315,83,18,323,0,29976,965,4,3,1,0,19,4,255,188,256,23,9,4,36,14,101,66,38,6,4,4,0,590,590,10,1269,29,2,85,58,34,574
2,Juventus,70,44,0,34,10,610,200,398,871,215,476,59,367,63,130,572,355,471,477,17323,20092,146,557,2166,370,1945,366,138,65,248,66,5,324,1,27208,956,8,7,0,1,48,20,244,177,244,27,6,1,30,16,84,49,35,6,4,4,1,601,601,12,1438,12,0,75,41,43,628
3,Roma,66,42,0,35,7,622,218,414,855,241,488,65,378,67,154,536,343,461,401,14161,17192,147,751,2222,352,2011,407,154,58,216,65,8,351,1,24532,985,6,6,0,0,57,14,228,180,228,15,6,2,48,10,118,69,49,10,7,7,1,760,760,6,1198,24,0,50,52,38,626
4,Sampdoria,60,41,0,35,6,487,179,366,638,139,340,54,269,29,122,647,425,493,522,16167,19436,91,494,2289,277,1904,263,122,53,224,57,7,462,1,26619,761,12,10,0,2,52,14,168,139,168,20,5,2,51,13,99,62,39,20,8,8,1,756,756,13,928,16,1,70,41,35,470
5,Inter,57,36,0,27,9,634,200,308,1091,277,496,70,404,53,104,615,407,468,497,18337,21268,198,539,2222,286,1907,391,142,51,243,58,6,309,3,28656,1052,9,8,0,1,53,13,301,225,302,10,0,0,33,17,98,63,35,7,5,5,0,577,577,1,1244,18,0,64,62,33,514
6,Lazio,56,35,0,28,7,612,192,430,740,183,480,66,391,51,136,656,404,502,397,14812,18003,114,635,2360,343,2000,372,141,46,242,53,10,334,3,25363,1004,6,6,0,0,41,12,226,191,228,22,2,1,46,10,106,64,42,9,6,6,1,732,732,21,1112,25,1,97,59,27,610
7,AC Milan,55,34,0,32,2,586,198,373,751,169,451,52,376,39,109,642,383,445,482,16471,19244,122,507,2166,341,1943,311,122,44,279,80,11,416,1,26713,793,4,3,0,1,46,9,230,159,230,19,5,2,36,12,110,67,39,7,5,5,1,772,772,23,1140,14,1,63,43,28,542
8,Sassuolo,53,33,0,24,9,513,157,377,660,136,379,54,304,40,110,528,327,528,533,15425,18373,75,483,2127,358,1878,265,105,43,251,55,10,386,2,25562,705,5,5,0,0,40,9,185,177,185,21,6,0,60,12,112,81,32,9,8,8,3,779,779,15,968,15,3,73,42,29,631
9,Torino,52,31,0,23,8,519,181,448,752,197,379,38,304,43,117,635,394,617,576,11959,15307,142,854,2455,337,2367,301,122,39,220,61,13,453,0,23189,788,6,5,1,0,57,19,182,99,184,26,3,0,37,15,109,73,37,9,5,5,2,763,763,11,1195,12,1,75,37,18,583
10,Empoli,51,36,0,29,7,457,154,333,636,120,334,56,263,33,133,552,327,458,447,13619,16705,76,445,2167,327,1750,303,122,49,157,35,2,369,2,23704,906,7,4,2,1,25,4,187,149,189,17,1,0,70,5,166,105,64,11,8,8,1,742,742,20,1074,19,4,77,40,34,550
11,Bologna,48,35,0,24,11,500,165,376,735,157,353,47,268,49,142,689,429,516,524,10978,14081,101,773,2188,272,2229,293,119,43,210,49,5,361,1,21739,754,5,5,0,0,51,9,207,151,208,25,7,2,56,10,119,69,52,9,4,4,0,805,805,18,1035,6,1,83,37,29,542
